,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
xfm1_line,633,634,(0.0598+0.1351j),(0.0598+0.1351j),(0.0598+0.1351j),(0.0593+0.13479999999999998j),(0.0593+0.13479999999999998j),(0.0593+0.13479999999999998j),1.0555751316061702e-06j,1.0555751316061702e-06j,1.0555751316061702e-06j,-2.26194671058465e-07j,-2.26194671058465e-07j,-2.26194671058465e-07j
650632,650,632,(0.13125358851674643+0.3855787236686759j),(0.12784440439942835+0.3969047909028771j),(0.12932171751693283+0.3919804138445287j),(0.05909252470018021+0.19004307462872058j),(0.05985012117069534+0.1604589324551047j),(0.0581455291120363+0.14579944075063694j),3.9984999703418965e-07j,3.9984999703418965e-07j,3.9984999703418965e-07j,-8.568214222161206e-08j,-8.568214222161206e-08j,-8.568214222161206e-08j
632670,632,670,(0.04377307177033493+0.12859050434350341j),(0.04263610886720935+0.13236774776610952j),(0.0431287927918971+0.13072546801715032j),(0.0197073569875101+0.06337936538867832j),(0.019960015410426895+0.05351305397377742j),(0.019391533958864105+0.04862411349033742j),1.3334997401090224e-07j,1.3334997401090224e-07j,1.3334997401090224e-07j,-2.857499443090762e-08j,-2.857499443090762e-08j,-2.857499443090762e-08j
670671,670,671,(0.08748051674641148+0.25698821932517246j),(0.08520829553221898+0.26453704313676757j),(0.08619292472503573+0.26125494582737835j),(0.03938516771267011+0.12666370924004228j),(0.03989010576026845+0.10694587848132729j),(0.03875399515317219+0.09717532726029952j),2.665000230232874e-07j,2.665000230232874e-07j,2.665000230232874e-07j,-5.7107147790704436e-08j,-5.7107147790704436e-08j,-5.7107147790704436e-08j
671680,671,680,(0.06562679425837321+0.19278936183433795j),(0.06392220219971417+0.19845239545143856j),(0.06466085875846642+0.19599020692226435j),(0.029546262350090106+0.09502153731436029j),(0.02992506058534767+0.08022946622755235j),(0.02907276455601815+0.07289972037531847j),1.9992499851709483e-07j,1.9992499851709483e-07j,1.9992499851709483e-07j,-4.284107111080603e-08j,-4.284107111080603e-08j,-4.284107111080603e-08j
632633,632,633,(0.07127088796371095+0.11187805878332197j),(0.07078792021375756+0.11347848132728516j),(0.07041859193438142+0.11470010563599083j),(0.014962530292673835+0.040114733113776176j),(0.014773131175045053+0.047510768657180145j),(0.014536382278009075+0.036449860187659236j),9.996249925854741e-08j,9.996249925854741e-08j,9.996249925854741e-08j,-2.1420535555403015e-08j,-2.1420535555403015e-08j,-2.1420535555403015e-08j
632645,632,645,0j,(0.12589359348785187+0.1275697756788666j),(0.1253632759584913+0.12849783135524764j),0j,0j,(0.019564928851053258+0.04347656745168708j),0j,9.996249925854741e-08j,9.996249925854741e-08j,0j,0j,-2.1420535555403015e-08j
645646,645,646,0j,(0.07553615609271112+0.07654186540731997j),(0.07521796557509478+0.0770986988131486j),0j,0j,(0.011738957310631954+0.026085940471012245j),0j,5.997749955512844e-08j,5.997749955512844e-08j,0j,0j,-1.2852321333241808e-08j
692675,692,675,(0.07497562940408875+0.04151174100540608j),(0.07402181544771019+0.03756703088299261j),(0.07497562940408875+0.04151174100540608j),(0.0301595366929721+0.0026216436463058477j),(0.02684258994593923-0.0017444037531846146j),(0.0301595366929721+0.0026216436463058477j),1.370728630904313e-05j,1.370728630904313e-05j,1.370728630904313e-05j,0j,0j,0j
671684,671,684,(0.07521796557509478+0.0770986988131486j),0j,(0.07553615609271112+0.07654186540731997j),0j,(0.011738957310631954+0.026085940471012245j),0j,5.997749955512844e-08j,0j,5.997749955512844e-08j,0j,-1.2852321333241808e-08j,0j
684611,684,611,0j,0j,(0.0755247921456534+0.0765645933014354j),0j,0j,0j,0j,0j,5.997749955512844e-08j,0j,0j,0j
684652,684,652,(0.20341465233331266+0.07763848629839061j),0j,0j,0j,0j,0j,1.3480657042866969e-05j,0j,0j,0j,0j,0j
671692,671,692,(0.0001+0j),(0.0001+0j),(0.0001+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j
