,bus,vLN,sInjkW
0,650.1,(2521.527158283582-0.3540780031485877j),-0j
1,650.2,(-1261.087931454094-2183.6697554466073j),(-0+0j)
2,650.3,(-1260.4290320318262+2183.9102081476367j),0j
3,633.1,(2410.417241857883-112.16930643108087j),-0j
4,633.2,(-1315.2149576326792-2125.8649425433514j),(-0+0j)
5,633.3,(-1112.0795854952787+2113.755461767607j),0j
6,634.1,(2408.1435283343935-114.11189282803741j),(160.0007446651834+109.995490926221j)
7,634.2,(-1317.420633146359-2127.784982088444j),(120.00055940058773+90.00221836612057j)
8,634.3,(-1114.2929480294097+2111.7737762381503j),(119.99691936696394+89.99490421065369j)
9,632.1,(2417.677432184659-109.64606512723562j),-0j
10,632.2,(-1315.8917089487354-2130.6391425947177j),(-0+0j)
11,632.3,(-1115.2528390924713+2119.232370602023j),0j
12,670.1,(2390.253242840238-148.12605070799287j),(17.000063669016555+9.999423478746383j)
13,670.2,(-1327.6649675179199-2132.342174048861j),(66.00041606806496+38.00127701091615j)
14,670.3,(-1074.1983749179687+2100.5365464660376j),(116.99605701750825+67.9943331769349j)
15,671.1,(2331.984653301833-225.01218584663556j),(382.961660509937+205.1697750721205j)
16,671.2,(-1354.2796376379263-2140.8339494738334j),(401.2247408299555+244.11598576863474j)
17,671.3,(-1005.7281253671944+2066.308516425731j),(370.8005932201966+210.67976957081933j)
18,680.1,(2331.984681517768-225.0122034618569j),-0j
19,680.2,(-1354.2796613830062-2140.8339773839884j),(-0+0j)
20,680.3,(-1005.7281297183804+2066.3085508158906j),0j
21,645.3,(-1114.1525593743372+2114.7976399276204j),0j
22,645.2,(-1310.8440385474935-2108.11626147647j),(170.0007726734851+125.00300473063072j)
23,646.3,(-1113.595439228548+2109.7074051459763j),(74.17032473178311+130.3829215983595j)
24,646.2,(-1311.3608861521568-2103.027988062487j),(155.83075396285773+1.6127609010420798j)
25,692.1,(2331.962574751052-225.00454824471066j),(43.77053859399534+124.08138387791814j)
26,692.2,(-1354.2836330835107-2140.8282289363287j),(-0+0j)
27,692.3,(-1005.722395609637+2066.291134522262j),(126.2261603971132+26.908755599449307j)
28,675.1,(2315.126018426068-233.6271496670708j),(484.9978941507753+2.2544866323245145j)
29,675.2,(-1364.064399616834-2141.462091595641j),(68.00036846136706-163.5046113149617j)
30,675.3,(-1004.3675128107936+2061.7318051154366j),(289.9865632256441+29.62498958599795j)
31,684.1,(2327.00470697689-225.61538285828414j),-0j
32,684.3,(-999.7028537321028+2063.355222084265j),0j
33,611.3,(-991.9773559255011+2061.248437265533j),(169.99059260959763-10.858177271179827j)
34,652.1,(2313.3016725710986-221.04307784758205j),(128.00089764330068+85.99321376189445j)
