,name,number,v_base,load_type,connect,Pa,Pb,Pc,Qa,Qb,Qc
sourcebus,sourcebus,0,2401.7771198288433,S,Y,0.0,0.0,0.0,0.0,0.0,0.0
sourcebusz,sourcebusz,1,2401.7771198288433,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
rg60,rg60,2,2401.7771198288433,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
633,633,3,2401.7771198288433,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
634,634,4,2401.7771198288433,PQ,Y,160.0,120.0,120.0,110.0,90.0,90.0
632,632,5,2401.7771198288433,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
670,670,6,2401.7771198288433,PQ,Y,17.0,66.0,117.0,10.0,38.0,68.0
671,671,7,2401.7771198288433,PQ,D,385.0,385.0,385.0,220.0,220.0,220.0
680,680,8,2401.7771198288433,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
645,645,9,2401.7771198288433,PQ,Y,0.0,170.0,0.0,0.0,125.0,0.0
646,646,10,2401.7771198288433,PQ,D,0.0,230.0,0.0,0.0,132.0,0.0
692,692,11,2401.7771198288433,PQ,D,0.0,0.0,170.0,0.0,0.0,151.0
675,675,12,2401.7771198288433,PQ,Y,485.0,68.0,290.0,190.0,60.0,212.0
684,684,13,2401.7771198288433,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
611,611,14,2401.7771198288433,PQ,Y,0.0,0.0,170.0,0.0,0.0,80.0
652,652,15,2401.7771198288433,PQ,Y,128.0,0.0,0.0,86.0,0.0,0.0
