,bus,vLN,sInjkW
0,SOURCEBUS.1,(2521.8368643904387-0.028919992109318858j),-0j
1,SOURCEBUS.2,(-1260.9537749697895-2183.9598525516167j),(-0+0j)
2,SOURCEBUS.3,(-1260.8830891745743+2183.988772969938j),0j
3,SOURCEBUSZ.1,(2521.545801562448-0.31791348622983384j),-0j
4,SOURCEBUSZ.2,(-1261.1614413768225-2183.558500603843j),(-0+0j)
5,SOURCEBUSZ.3,(-1260.3843599395502+2183.8764145162863j),0j
6,RG60.1,(2183.3528739617727-1261.109474588897j),-0j
7,RG60.2,(-2183.9505790213516-1260.3788961778655j),(-0+0j)
8,RG60.3,(0.5873671772977694+2521.446715732778j),0j
9,633.1,(2030.3434361390403-1301.9946556523553j),-0j
10,633.2,(-2201.8716590430017-1182.9180898798245j),(-0+0j)
11,633.3,(93.76411552643629+2386.032435872443j),0j
12,634.1,(1965.6108614963389-1294.4071834672443j),(160.0000266394583+109.99987078504815j)
13,634.2,(-2172.232183460734-1144.8310261262661j),(120.0000083891391+90.0000868308151j)
14,634.3,(112.36778563643713+2338.970196125482j),(119.99986350012814+89.99974472024063j)
15,632.1,(2038.0780602675832-1303.5710741216637j),-0j
16,632.2,(-2204.909797617651-1186.771944199807j),(-0+0j)
17,632.3,(93.84283253966575+2392.4809961899823j),0j
18,670.1,(1995.0641845048322-1323.1808034278783j),(17.000005635740507+9.999984456988456j)
19,670.2,(-2215.961948364967-1182.358686577522j),(66.00000325709641+38.000048851273945j)
20,670.3,(120.04887644080934+2355.744443068203j),(116.99985104010965+67.99975249701697j)
21,671.1,(1906.1106632049487-1360.6247537864213j),(382.91024771389937+205.13623394608214j)
22,671.2,(-2243.268058478201-1176.4010112296633j),(401.2970088884216+244.14128377574093j)
23,671.3,(162.22878924331332+2291.8343221227515j),(370.79225346374574+210.72123768062377j)
24,680.1,(1906.1106788197094-1360.6247831402625j),-0j
25,680.2,(-2243.268092998489-1176.4010235190394j),(-0+0j)
26,680.3,(162.22880266702398+2291.8343540746528j),0j
27,645.3,(92.5774079347935+2388.0891252019196j),0j
28,645.2,(-2189.2729236049595-1169.7907565126864j),(170.00000201158701+125.00011077010483j)
29,646.3,(90.51378240046091+2383.401680648907j),(74.15526823469806+130.39018662646947j)
30,646.2,(-2187.1753981750703-1165.125155268521j),(155.8447682581071+1.6096353309492812j)
31,692.1,(1906.0953612919095-1360.6070852161758j),(43.76542833464231+124.072654958361j)
32,692.2,(-2243.2686567009296-1176.3940599670934j),(-0+0j)
33,692.3,(162.22505329993464+2291.8163985279443j),(126.23441618571955+26.926995728069443j)
34,675.1,(1887.1954628759927-1359.6479143267175j),(485.0000957820351+2.4248224095057935j)
35,675.2,(-2252.0569537006127-1172.049787082326j),(67.99999179975728-163.46959103796092j)
36,675.3,(161.11639810895306+2287.188592658829j),(289.9995068023758+29.727669854901755j)
37,684.1,(1901.4942591780716-1358.6558993982871j),-0j
38,684.3,(165.96925437714773+2286.2605350392228j),0j
39,611.3,(171.60620994844808+2280.5693902707694j),(169.99964049744239-10.806851977975416j)
40,652.1,(1891.9107866046709-1347.8385273607025j),(128.0000706746098+85.99982415394737j)
