,bus,vLN,sInjkW
0,SOURCEBUS.1,(2401.7652834380137-0.012948777234308623j),-0j
1,SOURCEBUS.2,(-1200.8938754329824-2079.9833174196183j),(-0+0j)
2,SOURCEBUS.3,(-1200.8714077672444+2079.9962666410015j),0j
3,N2.1,(2351.3656872277593-28.02491453792973j),-0j
4,N2.2,(-1208.640658827742-2032.17194910744j),(-0+0j)
5,N2.3,(-1149.1704056910144+2060.6481998288054j),0j
6,N3.1,(1987.9131524139204-1219.430382304096j),-0j
7,N3.2,(-2050.682038874379-1121.981789152345j),(-0+0j)
8,N3.3,(62.30418189160346+2341.189558471989j),0j
9,N4.1,(1914.8491467304675-1218.5721045810883j),(416.64938214199486+201.7670077094868j)
10,N4.2,(-2030.0402028691421-1065.6355789655058j),(416.66269441216946+201.78852055432048j)
11,N4.3,(105.22055074359167+2287.825379179743j),(416.65655143312+201.78209043008349j)
