,bus,vLN,sInjkW
0,SOURCEBUS.1,(7199.530746706575-0.03098053762273365j),-0j
1,SOURCEBUS.2,(-3599.7921176128884-6234.961257497806j),(-0+0j)
2,SOURCEBUS.3,(-3599.7387147601726+6234.991943812665j),0j
3,N2.1,(7186.51933633507-7.694053695655806j),-0j
4,N2.2,(-3602.0680896999493-6222.63717263431j),(-0+0j)
5,N2.3,(-3586.2340156964524+6230.122452031463j),0j
6,N3.1,(2380.8149905971254-24.919844137097474j),-0j
7,N3.2,(-1212.6231356873654-2050.45761545537j),(-0+0j)
8,N3.3,(-1168.8130265036984+2075.1010147191087j),0j
9,N4.1,(2332.0513701776104-53.629208051440955j),(333.31613465261165+161.39646208094356j)
10,N4.2,(-1221.1425934484262-2004.2745552063652j),(333.33259878644014+161.4266142191246j)
11,N4.3,(-1118.2103264505893+2056.844959970705j),(333.3156940033011+161.41223231883126j)
