,bus,vLN,sInjkW
0,SOURCEBUS.1,(2401.7678251955967-0.01041222022364292j),-0j
1,SOURCEBUS.2,(-1200.8928819578077-2079.9868838868j),(-0+0j)
2,SOURCEBUS.3,(-1200.874996229474+2079.997123836671j),0j
3,N2.1,(2361.8818245248294-23.126280512396185j),-0j
4,N2.2,(-1207.4873424192651-2042.7225473195563j),(-0+0j)
5,N2.3,(-1160.0638008191763+2064.613332563495j),0j
6,N3.1,(2344.78806316955-45.67665536527695j),-0j
7,N3.2,(-1218.334458241654-2016.9121858086107j),(-0+0j)
8,N3.3,(-1132.1748111351178+2060.991316926414j),0j
9,N4.1,(2294.9286192333034-74.5706949200291j),(333.3290022609286+161.42544814387298j)
10,N4.2,(-1226.5758095070582-1970.3308688215495j),(333.33639930613253+161.44319254714668j)
11,N4.3,(-1081.1607320720693+2041.7596074526932j),(333.32542925955016+161.43246187222675j)
