,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
sourcez,sourcebus,sourcebusz,(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),1.0555751316061704e-06j,1.0555751316061704e-06j,1.0555751316061704e-06j,-2.2619467105846507e-07j,-2.2619467105846507e-07j,-2.2619467105846507e-07j
line1,1,2,(0.0008773019999999999+8.234999999999998e-05j),(0.0008773019999999999+8.234999999999998e-05j),(0.0008773019999999999+8.234999999999998e-05j),(0.000387594+4.392000000000004e-06j),(0.000387594+4.392000000000004e-06j),(0.000387594+4.392000000000004e-06j),0j,0j,0j,0j,0j,0j
line2,2,3,(9.197288999999999e-05+8.633249999999997e-06j),(9.197288999999999e-05+8.633249999999997e-06j),(9.197288999999999e-05+8.633249999999997e-06j),(4.063383e-05+4.604400000000004e-07j),(4.063383e-05+4.604400000000004e-07j),(4.063383e-05+4.604400000000004e-07j),0j,0j,0j,0j,0j,0j
line3,3,4,(8.616416e-05+8.087999999999998e-06j),(8.616416e-05+8.087999999999998e-06j),(8.616416e-05+8.087999999999998e-06j),(3.8067519999999996e-05+4.313600000000004e-07j),(3.8067519999999996e-05+4.313600000000004e-07j),(3.8067519999999996e-05+4.313600000000004e-07j),0j,0j,0j,0j,0j,0j
line4,4,5,(7.512277899999998e-05+7.051574999999998e-06j),(7.512277899999998e-05+7.051574999999998e-06j),(7.512277899999998e-05+7.051574999999998e-06j),(3.318941299999999e-05+3.760840000000003e-07j),(3.318941299999999e-05+3.760840000000003e-07j),(3.318941299999999e-05+3.760840000000003e-07j),0j,0j,0j,0j,0j,0j
line5,5,6,(0.00011834787999999999+1.1108999999999996e-05j),(0.00011834787999999999+1.1108999999999996e-05j),(0.00011834787999999999+1.1108999999999996e-05j),(5.228635999999999e-05+5.924800000000004e-07j),(5.228635999999999e-05+5.924800000000004e-07j),(5.228635999999999e-05+5.924800000000004e-07j),0j,0j,0j,0j,0j,0j
line6,6,7,(0.0080589537+0.0007564724999999997j),(0.0080589537+0.0007564724999999997j),(0.0080589537+0.0007564724999999997j),(0.0035604638999999993+4.034520000000003e-05j),(0.0035604638999999993+4.034520000000003e-05j),(0.0035604638999999993+4.034520000000003e-05j),0j,0j,0j,0j,0j,0j
line7,7,8,(0.00036094824999999996+3.388124999999999e-05j),(0.00036094824999999996+3.388124999999999e-05j),(0.00036094824999999996+3.388124999999999e-05j),(0.00015946774999999998+1.8070000000000013e-06j),(0.00015946774999999998+1.8070000000000013e-06j),(0.00015946774999999998+1.8070000000000013e-06j),0j,0j,0j,0j,0j,0j
line8,8,9,(0.000300424+2.819999999999999e-05j),(0.000300424+2.819999999999999e-05j),(0.000300424+2.819999999999999e-05j),(0.00013272799999999998+1.5040000000000012e-06j),(0.00013272799999999998+1.5040000000000012e-06j),(0.00013272799999999998+1.5040000000000012e-06j),0j,0j,0j,0j,0j,0j
line9,9,10,(0.00026364602999999996+2.4747749999999994e-05j),(0.00026364602999999996+2.4747749999999994e-05j),(0.00026364602999999996+2.4747749999999994e-05j),(0.00011647940999999998+1.319880000000001e-06j),(0.00011647940999999998+1.319880000000001e-06j),(0.00011647940999999998+1.319880000000001e-06j),0j,0j,0j,0j,0j,0j
line10,10,11,(0.00019672977999999998+1.8466499999999993e-05j),(0.00019672977999999998+1.8466499999999993e-05j),(0.00019672977999999998+1.8466499999999993e-05j),(8.691565999999998e-05+9.848800000000008e-07j),(8.691565999999998e-05+9.848800000000008e-07j),(8.691565999999998e-05+9.848800000000008e-07j),0j,0j,0j,0j,0j,0j
line11,11,12,(0.00018468085999999998+1.7335499999999997e-05j),(0.00018468085999999998+1.7335499999999997e-05j),(0.00018468085999999998+1.7335499999999997e-05j),(8.159241999999999e-05+9.245600000000008e-07j),(8.159241999999999e-05+9.245600000000008e-07j),(8.159241999999999e-05+9.245600000000008e-07j),0j,0j,0j,0j,0j,0j
line12,12,13,(0.00011356186999999999+1.0659749999999997e-05j),(0.00011356186999999999+1.0659749999999997e-05j),(0.00011356186999999999+1.0659749999999997e-05j),(5.017189e-05+5.685200000000005e-07j),(5.017189e-05+5.685200000000005e-07j),(5.017189e-05+5.685200000000005e-07j),0j,0j,0j,0j,0j,0j
line13,13,14,(0.00028271815999999996+2.6537999999999992e-05j),(0.00028271815999999996+2.6537999999999992e-05j),(0.00028271815999999996+2.6537999999999992e-05j),(0.00012490551999999998+1.415360000000001e-06j),(0.00012490551999999998+1.415360000000001e-06j),(0.00012490551999999998+1.415360000000001e-06j),0j,0j,0j,0j,0j,0j
line14,14,15,(0.0022902535999999997+0.00021497999999999995j),(0.0022902535999999997+0.00021497999999999995j),(0.0022902535999999997+0.00021497999999999995j),(0.0010118392+1.146560000000001e-05j),(0.0010118392+1.146560000000001e-05j),(0.0010118392+1.146560000000001e-05j),0j,0j,0j,0j,0j,0j
line15,15,16,(0.00038326379999999995+9.55746e-06j),(0.00038326379999999995+9.55746e-06j),(0.00038326379999999995+9.55746e-06j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line16,15,17,(0.002777324+0.00026069999999999994j),(0.002777324+0.00026069999999999994j),(0.002777324+0.00026069999999999994j),(0.0012270279999999998+1.3904000000000011e-05j),(0.0012270279999999998+1.3904000000000011e-05j),(0.0012270279999999998+1.3904000000000011e-05j),0j,0j,0j,0j,0j,0j
line17,16,18,(0.00017485865+4.360455e-06j),(0.00017485865+4.360455e-06j),(0.00017485865+4.360455e-06j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line18,17,19,(0.00019109682999999996+1.7937749999999996e-05j),(0.00019109682999999996+1.7937749999999996e-05j),(0.00019109682999999996+1.7937749999999996e-05j),(8.442700999999998e-05+9.566800000000008e-07j),(8.442700999999998e-05+9.566800000000008e-07j),(8.442700999999998e-05+9.566800000000008e-07j),0j,0j,0j,0j,0j,0j
line19,18,20,(0.00018331077999999998+4.571226000000001e-06j),(0.00018331077999999998+4.571226000000001e-06j),(0.00018331077999999998+4.571226000000001e-06j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line20,19,21,(0.00021457943999999998+2.0141999999999995e-05j),(0.00021457943999999998+2.0141999999999995e-05j),(0.00021457943999999998+2.0141999999999995e-05j),(9.480168e-05+1.074240000000001e-06j),(9.480168e-05+1.074240000000001e-06j),(9.480168e-05+1.074240000000001e-06j),0j,0j,0j,0j,0j,0j
line21,20,22,(0.00016664471999999997+4.155624e-06j),(0.00016664471999999997+4.155624e-06j),(0.00016664471999999997+4.155624e-06j),0j,0j,0j,0j,0j,0j,0j,0j,0j
