,bus,vLN,sInjkW
0,SOURCEBUS.1,(252.1865866891362-5.006599935082177e-06j),-0j
1,SOURCEBUS.2,(-126.0932974437593-218.39998992158996j),(-0+0j)
2,SOURCEBUS.3,(-126.09328922076945+218.39999497081115j),0j
3,SOURCEBUSZ.1,(252.0427340834182-0.21345077528923914j),-0j
4,SOURCEBUSZ.2,(-126.18079829947341-218.2001811720836j),(-0+0j)
5,SOURCEBUSZ.3,(-125.86193575937963+218.41363199000227j),0j
6,1.1,(217.5568845536095-126.68156237442156j),-0j
7,1.2,(-218.43945257050152-125.15750244653259j),(-0+0j)
8,1.3,(0.686729223600281+251.85566248150457j),0j
9,2.1,(217.522344875187-126.64489881117349j),-0j
10,2.2,(-218.40228470141705-125.13464860889103j),(-0+0j)
11,2.3,(0.6814768574659519+251.83345827618786j),0j
12,3.1,(217.51872387119494-126.64105514745262j),-0j
13,3.2,(-218.39838816825647-125.13225270246942j),(-0+0j)
14,3.3,(0.6809262200654858+251.8311304746632j),0j
15,4.1,(217.51533155888063-126.63745423792555j),-0j
16,4.2,(-218.39473772836385-125.1300081142624j),(-0+0j)
17,4.3,(0.680410359260407+251.82894969005363j),0j
18,5.1,(217.51237394949538-126.634314761714j),-0j
19,5.2,(-218.39155506878353-125.12805115554742j),(-0+0j)
20,5.3,(0.6799606026881478+251.8270483589171j),0j
21,6.1,(217.5077145531674-126.62936885370983j),-0j
22,6.2,(-218.38654113001425-125.12496817701214j),(-0+0j)
23,6.3,(0.6792520594531863+251.82405301566467j),0j
24,7.1,(217.19043080227223-126.29257495753014j),-0j
25,7.2,(-218.04511464737-124.9150313258079j),(-0+0j)
26,7.3,(0.6310034797179742+251.6200837296326j),0j
27,8.1,(217.17622014678244-126.27749047237711j),-0j
28,8.2,(-218.02982267573177-124.90562857430027j),(-0+0j)
29,8.3,(0.6288424993887177+251.6109482562712j),0j
30,9.1,(217.1643923516209-126.2649353723936j),-0j
31,9.2,(-218.01709488085427-124.8978024878213j),(-0+0j)
32,9.3,(0.6270438749197869+251.60334463040763j),0j
33,10.1,(217.1540125176596-126.25391727042133j),-0j
34,10.2,(-218.0059252253337-124.8909344725142j),(-0+0j)
35,10.3,(0.6254654384410306+251.59667184204008j),0j
36,11.1,(217.14626719924289-126.2456956834056j),-0j
37,11.2,(-217.99759055072008-124.88580963471415j),(-0+0j)
38,11.3,(0.6242876264283986+251.59169268044397j),0j
39,12.1,(217.13899625090875-126.23797763603807j),-0j
40,12.2,(-217.98976634192232-124.88099867293559j),(-0+0j)
41,12.3,(0.6231819507375481+251.5870184727788j),0j
42,13.1,(217.1345252814239-126.23323174146184j),-0j
43,13.2,(-217.9849551677576-124.8780403706184j),(-0+0j)
44,13.3,(0.6225020611210966+251.58414426175761j),0j
45,14.1,(217.12339457121138-126.22141659098794j),-0j
46,14.2,(-217.97297750036535-124.87067552370412j),(-0+0j)
47,14.3,(0.6208094406899557+251.57698876448228j),0j
48,15.1,(217.03322650724743-126.12570398834772j),-0j
49,15.2,(-217.87594837473486-124.81101410273729j),(-0+0j)
50,15.3,(0.6070977992588934+251.51902325071862j),0j
51,16.1,(217.03322650724743-126.12570398834772j),-0j
52,16.2,(-217.87594837473483-124.8110141027373j),(-0+0j)
53,16.3,(0.6070977992588936+251.51902325071862j),0j
54,17.1,(216.92388231580898-126.0096360959469j),-0j
55,17.2,(-217.75828397315368-124.73866443092555j),(-0+0j)
56,17.3,(0.5904700900716817+251.4487301562996j),0j
57,18.1,(217.03322650724743-126.12570398834772j),-0j
58,18.2,(-217.87594837473483-124.81101410273729j),(-0+0j)
59,18.3,(0.6070977992588941+251.5190232507186j),0j
60,19.1,(216.91635876855173-126.0016499170558j),-0j
61,19.2,(-217.7501879446939-124.73368633224685j),(-0+0j)
62,19.3,(0.5893260022678354+251.4438935626885j),0j
