,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
sourcez,sourcebus,sourcebusz,(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),1.0555751316061702e-06j,1.0555751316061702e-06j,1.0555751316061702e-06j,-2.26194671058465e-07j,-2.26194671058465e-07j,-2.26194671058465e-07j
line1,1,2,(0.00024576271999999995+7.730130666666665e-05j),(0.00024576271999999995+7.730130666666665e-05j),(0.00024576271999999995+7.730130666666665e-05j),(0.00015152287999999997+9.855146666666665e-06j),(0.00015152287999999997+9.855146666666665e-06j),(0.00015152287999999997+9.855146666666665e-06j),0j,0j,0j,0j,0j,0j
line2,2,3,(1.4608187999999999e-05+4.594806e-06j),(1.4608187999999999e-05+4.594806e-06j),(1.4608187999999999e-05+4.594806e-06j),(9.006551999999998e-06+5.85792e-07j),(9.006551999999998e-06+5.85792e-07j),(9.006551999999998e-06+5.85792e-07j),0j,0j,0j,0j,0j,0j
line3,3,4,(1.4366393999999999e-05+4.518753e-06j),(1.4366393999999999e-05+4.518753e-06j),(1.4366393999999999e-05+4.518753e-06j),(8.857475999999999e-06+5.76096e-07j),(8.857475999999999e-06+5.76096e-07j),(8.857475999999999e-06+5.76096e-07j),0j,0j,0j,0j,0j,0j
line4,4,5,(1.4562169999999999e-05+4.580331666666667e-06j),(1.4562169999999999e-05+4.580331666666667e-06j),(1.4562169999999999e-05+4.580331666666667e-06j),(8.978179999999998e-06+5.839466666666666e-07j),(8.978179999999998e-06+5.839466666666666e-07j),(8.978179999999998e-06+5.839466666666666e-07j),0j,0j,0j,0j,0j,0j
line5,5,6,(1.4477049999999999e-05+4.553558333333333e-06j),(1.4477049999999999e-05+4.553558333333333e-06j),(1.4477049999999999e-05+4.553558333333333e-06j),(8.925699999999998e-06+5.805333333333333e-07j),(8.925699999999998e-06+5.805333333333333e-07j),(8.925699999999998e-06+5.805333333333333e-07j),0j,0j,0j,0j,0j,0j
line6,6,7,(1.4552327999999998e-05+4.577236e-06j),(1.4552327999999998e-05+4.577236e-06j),(1.4552327999999998e-05+4.577236e-06j),(8.972111999999998e-06+5.83552e-07j),(8.972111999999998e-06+5.83552e-07j),(8.972111999999998e-06+5.83552e-07j),0j,0j,0j,0j,0j,0j
line7,7,8,(1.4714321999999998e-05+4.628189e-06j),(1.4714321999999998e-05+4.628189e-06j),(1.4714321999999998e-05+4.628189e-06j),(9.071987999999998e-06+5.900479999999999e-07j),(9.071987999999998e-06+5.900479999999999e-07j),(9.071987999999998e-06+5.900479999999999e-07j),0j,0j,0j,0j,0j,0j
line8,8,9,(1.4373575999999998e-05+4.521012e-06j),(1.4373575999999998e-05+4.521012e-06j),(1.4373575999999998e-05+4.521012e-06j),(8.861903999999998e-06+5.76384e-07j),(8.861903999999998e-06+5.76384e-07j),(8.861903999999998e-06+5.76384e-07j),0j,0j,0j,0j,0j,0j
line9,9,10,(1.4632659999999999e-05+4.602503333333333e-06j),(1.4632659999999999e-05+4.602503333333333e-06j),(1.4632659999999999e-05+4.602503333333333e-06j),(9.02164e-06+5.867733333333333e-07j),(9.02164e-06+5.867733333333333e-07j),(9.02164e-06+5.867733333333333e-07j),0j,0j,0j,0j,0j,0j
