,bus,vLN,sInjkW
0,SOURCEBUS.1,(240.17769415104127-7.434584470243078e-06j),-0j
1,SOURCEBUS.2,(-120.08885416918764-207.9999817517488j),(-0+0j)
2,SOURCEBUS.3,(-120.08883995841794+207.99998922692495j),0j
3,SOURCEBUSZ.1,(239.9620011367538-0.31707900998128563j),-0j
4,SOURCEBUSZ.2,(-120.25700112699205-207.67859415616692j),(-0+0j)
5,SOURCEBUSZ.3,(-119.70499998646703+207.99567320676078j),0j
6,1.1,(207.3612932723357-120.37471818575406j),-0j
7,1.2,(-207.92306900244353-119.44561826989226j),(-0+0j)
8,1.3,(0.5323305967596096+239.80948412195016j),0j
9,2.1,(207.35995349571056-120.37407876195057j),-0j
10,2.2,(-207.92213569920185-119.44481223150562j),(-0+0j)
11,2.3,(0.5323883260993133+239.80832021141097j),0j
12,3.1,(207.35751863888078-120.37291669852465j),-0j
13,3.2,(-207.92043955095613-119.44334736935325j),(-0+0j)
14,3.3,(0.5324932411085258+239.8062049666213j),0j
15,4.1,(207.35674897092966-120.37254936564294j),-0j
16,4.2,(-207.91990339173364-119.44288432058688j),(-0+0j)
17,4.3,(0.5325264051611822+239.80553632931029j),0j
18,5.1,(207.35570382833637-120.3720505593199j),-0j
19,5.2,(-207.91917533382318-119.44225554036045j),(-0+0j)
20,5.3,(0.532571439079955+239.8046283775994j),0j
21,6.1,(207.35435290018145-120.37140581332062j),-0j
22,6.2,(-207.9182342623024-119.44144279297403j),(-0+0j)
23,6.3,(0.5326296489253699+239.80345477933892j),0j
24,7.1,(207.35299729900453-120.37075883706791j),-0j
25,7.2,(-207.9172899355028-119.44062723419725j),(-0+0j)
26,7.3,(0.532688060125572+239.8022771214618j),0j
27,8.1,(207.3521130570521-120.37033682242638j),-0j
28,8.2,(-207.9166739627617-119.44009525525149j),(-0+0j)
29,8.3,(0.5327261610319612+239.8015089497324j),0j
30,9.1,(207.3506036072487-120.36961642014721j),-0j
31,9.2,(-207.91562246330457-119.43918713783754j),(-0+0j)
32,9.3,(0.5327912013815488+239.80019763820457j),0j
33,10.1,(207.34826093639566-120.3684983535391j),-0j
34,10.2,(-207.9139905328327-119.43777773674857j),(-0+0j)
35,10.3,(0.5328921442090305+239.7981624785799j),0j
36,11.1,(207.34675223002753-120.36777830607286j),-0j
37,11.2,(-207.91293955126082-119.43687006660124j),(-0+0j)
38,11.3,(0.5329571525249268+239.7968518129002j),0j
39,12.1,(207.345598163541-120.36722751456907j),-0j
40,12.2,(-207.91213561576-119.43617575542197j),(-0+0j)
41,12.3,(0.5330068798411116+239.79584923521654j),0j
42,13.1,(207.3392736531903-120.36420906926523j),-0j
43,13.2,(-207.9077298917783-119.4323707941905j),(-0+0j)
44,13.3,(0.533279395272106+239.79035491317197j),0j
45,14.1,(207.3103603921013-120.35040988287548j),-0j
46,14.2,(-207.88758859376358-119.41497595547283j),(-0+0j)
47,14.3,(0.534525232399558+239.76523695795098j),0j
48,15.1,(207.30923461863838-120.34987259454265j),-0j
49,15.2,(-207.88680436749655-119.41429866598415j),(-0+0j)
50,15.3,(0.5345737406038727+239.76425895940062j),0j
